# Jpsi-007 data with experimental setting 2
#setting	idx	E_idx	t_idx	E_low	E_high	abs_t_tmin_low	abst_t_tmin_high	avg_E	avg_abs_t_tmin	avg_abs_t	dsdt_nb	stat_error	sys_error	tot_error
2	0	3	0	9.1	9.25	0	0.1	9.17	0.05	0.87	0.227	0.061	0.02	0.064
2	1	3	1	9.1	9.25	0.1	0.2	9.18	0.15	0.96	0.257	0.111	0.01	0.112
2	2	3	2	9.1	9.25	0.2	0.3	9.18	0.25	1.06	0.387	0.162	0.031	0.165
2	3	4	0	9.25	9.4	0	0.1	9.33	0.05	0.8	0.232	0.047	0.017	0.05
2	4	4	1	9.25	9.4	0.1	0.25	9.33	0.17	0.92	0.312	0.061	0.012	0.062
2	5	4	2	9.25	9.4	0.25	0.4	9.33	0.32	1.07	0.131	0.069	0.011	0.07
2	6	4	3	9.25	9.4	0.4	0.6	9.33	0.5	1.25	0.326	0.128	0.03	0.131
2	7	5	0	9.4	9.55	0	0.1	9.48	0.05	0.75	0.405	0.056	0.009	0.056
2	8	5	1	9.4	9.55	0.1	0.2	9.48	0.15	0.85	0.402	0.075	0.004	0.075
2	9	5	2	9.4	9.55	0.2	0.3	9.48	0.25	0.95	0.46	0.092	0.019	0.094
2	10	5	3	9.4	9.55	0.3	0.5	9.48	0.4	1.1	0.395	0.073	0.022	0.076
2	11	5	4	9.4	9.55	0.5	0.7	9.48	0.6	1.3	0.409	0.119	0.042	0.126
2	12	6	0	9.55	9.7	0	0.1	9.63	0.05	0.71	0.525	0.073	0.009	0.074
2	13	6	1	9.55	9.7	0.1	0.2	9.63	0.15	0.81	0.575	0.093	0.013	0.094
2	14	6	2	9.55	9.7	0.2	0.3	9.63	0.25	0.91	0.49	0.1	0.028	0.104
2	15	6	3	9.55	9.7	0.3	0.45	9.63	0.37	1.03	0.39	0.084	0.025	0.087
2	16	6	4	9.55	9.7	0.45	0.6	9.63	0.52	1.18	0.361	0.104	0.013	0.105
2	17	6	5	9.55	9.7	0.6	0.8	9.63	0.7	1.36	0.29	0.11	0.018	0.112
2	18	7	0	9.7	9.85	0	0.1	9.78	0.05	0.67	0.691	0.114	0.03	0.118
2	19	7	1	9.7	9.85	0.1	0.2	9.78	0.15	0.77	0.46	0.119	0.01	0.12
2	20	7	2	9.7	9.85	0.2	0.3	9.78	0.25	0.87	0.601	0.141	0.011	0.141
2	21	7	3	9.7	9.85	0.3	0.45	9.78	0.37	0.99	0.358	0.106	0.017	0.107
2	22	7	4	9.7	9.85	0.45	0.65	9.78	0.55	1.17	0.344	0.106	0.008	0.107
2	23	7	5	9.7	9.85	0.65	1	9.78	0.81	1.43	0.194	0.091	0.012	0.092
2	24	8	0	9.85	10	0	0.2	9.93	0.1	0.68	0.75	0.152	0.06	0.163
2	25	8	1	9.85	10	0.2	0.4	9.93	0.3	0.88	0.573	0.14	0.048	0.148
2	26	8	2	9.85	10	0.4	0.65	9.93	0.52	1.1	0.437	0.136	0.022	0.138
