# Jpsi-007 data with experimental setting 3
#setting	idx	E_idx	t_idx	E_low	E_high	abs_t_tmin_low	abst_t_tmin_high	avg_E	avg_abs_t_tmin	avg_abs_t	dsdt_nb	stat_error	sys_error	tot_error
3	0	1	0	8.7	8.9	0.75	1.1	8.8	0.91	1.93	0.156	0.056	0.021	0.06
3	2	2	0	8.9	9.1	1.15	1.55	9	1.34	2.24	0.069	0.032	0.011	0.034
3	3	2	1	8.9	9.1	1.55	1.95	9	1.74	2.64	0.031	0.031	0.005	0.031
3	4	3	0	9.1	9.25	1.3	1.8	9.18	1.53	2.34	0.053	0.039	0.008	0.04
3	5	3	1	9.1	9.25	1.8	2.35	9.17	2.05	2.87	0.051	0.033	0.005	0.033
3	6	4	0	9.25	9.4	1.6	2.15	9.32	1.85	2.61	0.086	0.039	0.007	0.04
3	7	4	1	9.25	9.4	2.15	2.7	9.33	2.4	3.15	0.064	0.036	0.01	0.037
3	8	5	0	9.4	9.55	1.8	2.3	9.48	2.03	2.73	0.047	0.04	0.006	0.04
3	9	5	1	9.4	9.55	2.3	2.95	9.47	2.58	3.29	0.036	0.025	0.004	0.025
3	10	6	0	9.55	9.7	2.1	2.6	9.62	2.33	2.99	0.089	0.043	0.015	0.045
3	11	6	1	9.55	9.7	2.6	3.25	9.62	2.88	3.54	0.03	0.022	0.003	0.022
3	12	7	0	9.7	9.85	2.3	2.9	9.77	2.56	3.18	0.021	0.029	0.002	0.029
3	13	7	1	9.7	9.85	2.9	3.45	9.77	3.14	3.76	0.025	0.021	0.001	0.021
3	14	8	0	9.85	10	2.5	3.05	9.92	2.75	3.33	0.074	0.048	0.008	0.049
3	15	8	1	9.85	10	3.05	3.7	9.93	3.34	3.92	0.01	0.015	0.001	0.015
3	16	9	0	10	10.15	2.85	3.45	10.08	3.12	3.67	0.014	0.023	0.003	0.023
3	17	9	1	10	10.15	3.45	4.1	10.08	3.74	4.29	0.019	0.016	0.001	0.016
3	19	10	1	10.15	10.3	3.7	4.3	10.23	3.97	4.49	0.002	0.009	0.001	0.009
3	20	11	0	10.3	10.45	3.55	4	10.39	3.76	4.25	0.073	0.058	0.017	0.061
3	21	11	1	10.3	10.45	4	4.55	10.38	4.25	4.74	0.027	0.023	0.004	0.024
3	22	12	0	10.45	10.6	3.8	4.4	10.53	4.07	4.54	0.014	0.034	0.003	0.034
